DATE,ASPUS
Q1 2010,275300
Q2 2010,268800
Q3 2010,266000
Q4 2010,278000
Q1 2011,268100
Q2 2011,267600
Q3 2011,263000
Q4 2011,259700
Q1 2012,278000
Q2 2012,282700
Q3 2012,294500
Q4 2012,297700
Q1 2013,307400
Q2 2013,320400
Q3 2013,324400
Q4 2013,334400
Q1 2014,331400
Q2 2014,340600
Q3 2014,340400
Q4 2014,369400
Q1 2015,348000
Q2 2015,339700
Q3 2015,347400
Q4 2015,366700
Q1 2016,357000
Q2 2016,357900
Q3 2016,358800
Q4 2016,364900
Q1 2017,374800
Q2 2017,376900
Q3 2017,373200
Q4 2017,399700
Q1 2018,374600
Q2 2018,378400
Q3 2018,392900
Q4 2018,384000
Q1 2019,375500
Q2 2019,376700
Q3 2019,382700
Q4 2019,382300
